Season,Player,Team,Tgts,Catchable,Rec,Drops,Yds,AirYards,YAC,YAContact,TDs,Brkn Tkls,First Downs
2018,Pierre Garcon,49ers,16,11,8,2,79,50,29,14,0,3,4
2018,J.J. Nelson,Cardinals,16,7,5,0,37,17,20,8,0,0,2
2018,Adam Humphries,Buccaneers,15,13,12,1,108,36,72,25,2,1,4
2018,Trent Sherfield,Cardinals,15,13,11,0,129,92,37,15,1,0,8
2018,Quincy Enunwa,Jets,15,9,9,0,90,25,65,47,0,3,5
2018,James White,Patriots,15,10,9,1,76,50,26,7,0,0,4
2018,Paul Richardson,Redskins,15,7,7,0,78,73,5,-1,1,1,3
2018,Golden Tate,Eagles,14,13,11,2,94,33,61,23,0,1,4
2018,Damion Ratley,Browns,14,11,9,2,80,55,25,9,0,0,3
2018,Ted Ginn,Saints,14,11,8,2,107,78,47,0,0,0,4
2018,Mohamed Sanu,Falcons,14,11,8,0,88,64,24,16,0,1,6
2018,Bennie Fowler,Giants,14,11,8,0,103,64,39,21,1,3,7
2018,Larry Fitzgerald,Cardinals,13,12,10,0,109,73,36,18,2,1,3
2018,Nyheim Hines,Colts,13,6,5,0,74,30,44,19,0,2,4
2018,Cody Latimer,Giants,12,8,8,0,133,110,23,10,1,0,4
2018,T.J. Jones,Lions,12,8,8,0,97,75,22,8,1,0,5
2018,Tarik Cohen,Bears,12,8,8,0,35,-13,48,12,1,0,2
2018,Chris Moore,Ravens,12,7,6,0,48,29,19,6,0,0,1
2018,Marvin Hall,Falcons,12,9,4,2,44,18,26,2,0,0,2
2018,Cordarrelle Patterson,Patriots,11,8,8,0,51,14,37,11,1,0,4
2018,Andy Jones,Lions,11,7,7,0,56,36,20,14,0,2,4
2018,Russell Shepard,Giants,11,8,7,1,122,114,8,2,0,0,5
2018,Travis Kelce,Chiefs,11,7,6,1,63,37,26,19,1,0,4
2018,Jordan Reed,Redskins,11,7,6,0,69,50,15,10,0,1,3
2018,Gerald Everett,Rams,11,5,5,0,60,42,18,14,1,1,4
2018,Josh Bellamy,Bears,11,6,5,1,49,37,12,5,0,0,2
2018,Jermaine Kearse,Jets,11,6,5,0,37,30,7,1,0,0,1
2018,Josh Reynolds,Rams,11,5,4,0,96,59,37,12,1,2,4
2018,DaeSean Hamilton,Broncos,10,5,5,0,53,47,6,1,0,0,2
2018,Alex Erickson,Bengals,10,7,4,1,26,14,16,10,0,0,1
2018,Alvin Kamara,Saints,9,7,7,0,106,55,51,14,1,0,3
2018,Cole Beasley,Cowboys,9,8,7,0,34,28,6,4,0,0,2
2018,Anthony Miller,Bears,9,8,6,2,104,60,44,36,2,1,4
2018,Russell Gage,Falcons,9,9,5,2,54,40,14,5,0,0,3
2018,Tavon Austin,Cowboys,9,8,5,2,83,69,14,13,1,1,2
2018,Andre Roberts,Jets,9,7,5,0,29,30,-1,1,1,1,2
2018,David Njoku,Browns,9,7,4,0,31,15,16,9,2,0,3
2018,Auden Tate,Bengals,9,5,3,2,20,20,0,0,0,0,1
2018,Corey Coleman,Giants,8,6,5,1,71,62,9,2,0,0,5
2018,Willie Snead IV,Ravens,8,6,5,0,47,31,16,13,0,1,3
2018,Justin Hardy,Falcons,8,6,5,1,57,34,23,6,2,0,4
2018,Brice Butler,Dolphins,8,6,4,1,34,35,-1,0,1,0,1
2018,Jamison Crowder,Redskins,8,6,4,0,27,3,24,3,0,0,1
2018,Deontay Burnett,Jets,8,6,4,1,66,48,18,10,0,1,3
2018,Keke Coutee,Texans,8,4,3,1,31,22,9,3,0,0,1
2018,Michael Floyd,Redskins,8,5,3,1,38,33,5,4,0,0,2
2018,Justin Hunter,Steelers,8,4,2,0,9,6,3,1,0,0,1
2018,Rob Gronkowski,Patriots,8,3,2,0,43,35,8,8,1,0,2
2018,Matt Breida,49ers,7,7,7,0,52,16,39,26,0,2,2
2018,Brandon LaFell,Raiders,7,7,7,0,78,45,33,18,1,1,6
2018,Tajae Sharpe,Titans,7,6,6,0,95,76,19,7,1,0,6
2018,DeAndre Carter,Texans,7,6,6,0,30,3,27,4,0,0,2
2018,Marcus Johnson,Colts,7,6,5,1,84,63,21,3,1,0,4
2018,Jarius Wright,Panthers,7,5,5,0,25,2,23,6,0,0,2
2018,Bruce Ellington,Lions,7,5,4,0,19,8,11,1,0,0,0
2018,Dede Westbrook,Jaguars,7,6,4,0,21,8,22,5,0,0,3
2018,Jake Kumerow,Packers,7,4,4,0,31,31,0,0,0,0,1
2018,Saquon Barkley,Giants,7,6,4,1,63,31,32,10,0,0,3
2018,Jaylen Samuels,Steelers,6,5,5,0,24,10,14,8,0,0,1
2018,Jalen Richard,Raiders,6,5,5,0,33,-4,37,16,0,2,2
2018,Austin Hooper,Falcons,6,5,5,0,55,32,23,7,0,0,1
2018,George Kittle,49ers,6,4,4,0,36,21,15,5,0,0,2
2018,Cameron Batson,Titans,6,5,3,0,34,7,27,5,0,0,3
2018,Jawill Davis,Giants,6,3,3,0,38,34,4,3,0,0,2
2018,Zach Ertz,Eagles,6,3,3,0,29,21,8,1,0,0,2
2018,Cameron Brate,Buccaneers,6,6,3,2,46,40,6,3,1,0,3
2018,Kevin White,Bears,6,4,3,1,70,69,1,0,0,0,2
2018,David Johnson,Cardinals,5,5,5,0,22,-6,28,8,0,0,2
2018,Kyle Rudolph,Vikings,5,5,5,0,67,64,3,3,1,0,4
2018,Kyle Juszczyk,49ers,5,5,4,1,47,17,30,16,0,2,3
2018,Kamar Aiken,Eagles,5,4,4,0,25,16,9,4,0,0,1
